threshold,accuracy,balanced_accuracy,precision_attack,recall_attack,f1_attack,f2_attack,specificity,false_positive_rate,false_negative_rate,roc_auc,pr_auc,matthews_correlation,true_negative,false_positive,false_negative,true_positive,errors
0.09999999999999999,0.9973506179837587,0.9980448608836552,0.9897417757339936,0.9993876926216961,0.9945413461294336,0.9974434972143287,0.9967020291456143,0.0032979708543856515,0.0006123073783039086,0.9999442960907048,0.9998158301870348,0.9928125774479652,61350,203,12,19586,215
0.11,0.9974122315190201,0.9980854762882658,0.9899919126566923,0.9993876926216961,0.9946676146462851,0.997494295958279,0.9967832599548356,0.00321674004516433,0.0006123073783039086,0.9999442960907048,0.9998158301870348,0.9929785448779503,61355,198,12,19586,210
0.12,0.9974861677613338,0.9981342147737987,0.9902922439073718,0.9993876926216961,0.994819179195449,0.9975552612814506,0.9968807369259013,0.0031192630740987442,0.0006123073783039086,0.9999442960907048,0.9998158301870348,0.993177779921089,61361,192,12,19586,204
0.13,0.9976217175389089,0.9982235686639421,0.9908433247331411,0.9993876926216961,0.995097167534612,0.9976670503978239,0.9970594447061881,0.002940555293811837,0.0006123073783039086,0.9999442960907048,0.9998158301870348,0.9935432543884116,61372,181,12,19586,193
0.14,0.9976217175389089,0.9982061789374349,0.9908929926637996,0.9993366670068374,0.995096918425933,0.9976364395814868,0.9970756908680324,0.0029243091319675727,0.0006633329931625676,0.9999442960907048,0.9998158301870348,0.9935426555119851,61373,180,13,19585,193
0.15000000000000002,0.9976463629530136,0.9982224250992793,0.9909932702524921,0.9993366670068374,0.9951474810091206,0.9976567673577506,0.997108183191721,0.002891816808279044,0.0006633329931625676,0.9999442960907048,0.9998158301870348,0.9936091413722371,61375,178,13,19585,191
0.16,0.9977695900235364,0.9983036559085006,0.9914949627904622,0.9993366670068374,0.9954003710197962,0.9977584186662591,0.9972706448101636,0.002729355189836401,0.0006633329931625676,0.9999442960907048,0.9998158301870348,0.9939417058411859,61385,168,13,19585,181
0.17,0.9978065581446932,0.998328025151267,0.9916455696202532,0.9993366670068374,0.9954762630883399,0.9977889180982658,0.9973193832956964,0.0026806167043036083,0.0006633329931625676,0.9999442960907048,0.9998158301870348,0.9940415191391492,61388,165,13,19585,178
0.18000000000000002,0.997880494387007,0.9983767636367997,0.9919469205834684,0.9993366670068374,0.9956280819480453,0.9978499225564522,0.997416860266762,0.0025831397332380223,0.0006633329931625676,0.9999442960907048,0.9998158301870348,0.9942412066477656,61394,159,13,19585,172
0.19,0.9978928170940592,0.9983327175382002,0.9921467294928307,0.9991835901622614,0.9956527265793822,0.9977682438422892,0.997481844914139,0.0025181550858609653,0.0008164098377385448,0.9999442960907048,0.9998158301870348,0.9942729472523265,61398,155,16,19582,171
