Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
279.0,47.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,3.7021278e+06,63829.79,23.5,23.5,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,42553.19,21276.596,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,48.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,3.625e+06,62500.0,24.0,24.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,41666.668,20833.334,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,38.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4.5789475e+06,78947.37,19.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,52631.58,26315.79,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,29.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,6e+06,103448.27,14.5,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,68965.516,34482.758,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,29.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,6e+06,103448.27,14.5,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,68965.516,34482.758,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
371.0,33.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5.2727275e+06,90909.09,16.5,16.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,60606.062,30303.031,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.0,31.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,5.612903e+06,96774.195,15.5,15.5,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,64516.13,32258.064,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247.0,29.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,6e+06,103448.27,14.5,14.5,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,68965.516,34482.758,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,38.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4.5789475e+06,78947.37,19.0,19.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,52631.58,26315.79,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262.0,37.0,2.0,1.0,120.0,54.0,60.0,60.0,60.0,0.0,54.0,54.0,54.0,0.0,4.7027025e+06,81081.08,18.5,18.5,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,54054.055,27027.027,54.0,60.0,58.0,2.828427,8.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5,58.0,60.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,120.0,1.0,54.0,1024.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
